origin,destination,count
"Bangladesh","Saudi Arabia","967223"
"India","Saudi Arabia","1894380"
"Nepal","Saudi Arabia","381102"
"Pakistan","Saudi Arabia","1123260"
"Sri Lanka","Saudi Arabia","400734"
"Iraq","Saudi Arabia","4601"
"Jordan","Saudi Arabia","182152"
"Lebanon","Saudi Arabia","116577"
"Syrian Arab Republic","Saudi Arabia","623247"
"Yemen","Saudi Arabia","582886"
"Indonesia","Saudi Arabia","1294035"
"Myanmar","Saudi Arabia","202720"
"Philippines","Saudi Arabia","488167"
"Egypt","Saudi Arabia","728608"
"Sudan","Saudi Arabia","364304"
"Ethiopia","Saudi Arabia","124347"
"Bahrain","State of Palestine","8555"
"Israel","State of Palestine","62895"
"Jordan","State of Palestine","55709"
"Kuwait","State of Palestine","17111"
"Lebanon","State of Palestine","3311"
"Oman","State of Palestine","9334"
"Qatar","State of Palestine","10111"
"Saudi Arabia","State of Palestine","21778"
"Syrian Arab Republic","State of Palestine","4672"
"United Arab Emirates","State of Palestine","10888"
"Yemen","State of Palestine","1467"
"Egypt","State of Palestine","18451"
"Tunisia","State of Palestine","600"
"United States of America","State of Palestine","7826"
"Afghanistan","Syrian Arab Republic","1791"
"Iraq","Syrian Arab Republic","253609"
"State of Palestine","Syrian Arab Republic","238809"
"Sudan","Syrian Arab Republic","562"
"Somalia","Syrian Arab Republic","2538"
"Afghanistan","Turkey","13601"
"Bangladesh","Turkey","329"
"India","Turkey","521"
"Iran (Islamic Republic of)","Turkey","16332"
"Pakistan","Turkey","1168"
"Sri Lanka","Turkey","52"
"Armenia","Turkey","796"
"Azerbaijan","Turkey","16856"
"Cyprus","Turkey","10433"
"Georgia","Turkey","6536"
"Iraq","Turkey","22392"
"Israel","Turkey","2729"
"Jordan","Turkey","918"
"Kuwait","Turkey","286"
"Lebanon","Turkey","1135"
"Oman","Turkey","24"
"Qatar","Turkey","30"
"Saudi Arabia","Turkey","4416"
"State of Palestine","Turkey","740"
"Syrian Arab Republic","Turkey","1568494"
"United Arab Emirates","Turkey","43"
"Yemen","Turkey","100"
"Indonesia","Turkey","179"
"Malaysia","Turkey","264"
"Myanmar","Turkey","37"
"Philippines","Turkey","585"
"Singapore","Turkey","197"
"Thailand","Turkey","146"
"Viet Nam","Turkey","29"
"China","Turkey","1764"
"China, Hong Kong Special Administrative Region","Turkey","56"
"Democratic People's Republic of Korea","Turkey","28"
"Japan","Turkey","2008"
"Mongolia","Turkey","190"
"Republic of Korea","Turkey","512"
"Kazakhstan","Turkey","5015"
"Kyrgyzstan","Turkey","1969"
"Tajikistan","Turkey","277"
"Turkmenistan","Turkey","2040"
"Uzbekistan","Turkey","7997"
"Albania","Turkey","3325"
"Bosnia and Herzegovina","Turkey","2376"
"Croatia","Turkey","222"
"Greece","Turkey","59465"
"Italy","Turkey","2853"
"Malta","Turkey","42"
"Portugal","Turkey","224"
"Slovenia","Turkey","146"
"Spain","Turkey","1213"
"The former Yugoslav Republic of Macedonia","Turkey","144544"
"Austria","Turkey","14394"
"Belgium","Turkey","8787"
"France","Turkey","16041"
"Germany","Turkey","274691"
"Luxembourg","Turkey","44"
"Netherlands","Turkey","21913"
"Switzerland","Turkey","10411"
"Belarus","Turkey","300"
"Bulgaria","Turkey","482851"
"Czech Republic","Turkey","1137"
"Hungary","Turkey","521"
"Poland","Turkey","3428"
"Republic of Moldova","Turkey","2341"
"Romania","Turkey","20822"
"Russian Federation","Turkey","19944"
"Slovakia","Turkey","314"
"Ukraine","Turkey","4195"
"Denmark","Turkey","3378"
"Estonia","Turkey","112"
"Finland","Turkey","1677"
"Iceland","Turkey","42"
"Ireland","Turkey","539"
"Latvia","Turkey","63"
"Lithuania","Turkey","260"
"Norway","Turkey","3567"
"Sweden","Turkey","5355"
"United Kingdom of Great Britain and Northern Ireland","Turkey","18992"
"Algeria","Turkey","648"
"Egypt","Turkey","788"
"Libya","Turkey","3082"
"Morocco","Turkey","481"
"Sudan","Turkey","400"
"Tunisia","Turkey","517"
"Democratic Republic of the Congo","Turkey","73"
"Ghana","Turkey","144"
"Nigeria","Turkey","880"
"Senegal","Turkey","65"
"South Africa","Turkey","295"
"Swaziland","Turkey","76"
"Ethiopia","Turkey","150"
"Kenya","Turkey","173"
"Somalia","Turkey","2176"
"United Republic of Tanzania","Turkey","222"
"Australia","Turkey","2947"
"New Zealand","Turkey","290"
"British Virgin Islands","Turkey","75"
"Cuba","Turkey","42"
"Guadeloupe","Turkey","46"
"Argentina","Turkey","140"
"Brazil","Turkey","344"
"Chile","Turkey","43"
"Colombia","Turkey","46"
"Peru","Turkey","52"
"Uruguay","Turkey","43"
"Venezuela (Bolivarian Republic of)","Turkey","39"
"Costa Rica","Turkey","53"
"Mexico","Turkey","153"
"Canada","Turkey","1431"
"United States of America","Turkey","13634"
"Afghanistan","United Arab Emirates","7590"
"Bangladesh","United Arab Emirates","906483"
"India","United Arab Emirates","3499337"
"Nepal","United Arab Emirates","43809"
"Pakistan","United Arab Emirates","863858"
"Sri Lanka","United Arab Emirates","113788"
"Jordan","United Arab Emirates","167585"
"Kuwait","United Arab Emirates","62546"
"Lebanon","United Arab Emirates","52129"
"Qatar","United Arab Emirates","3996"
"Saudi Arabia","United Arab Emirates","4721"
"State of Palestine","United Arab Emirates","54006"
"Syrian Arab Republic","United Arab Emirates","35196"
"Turkey","United Arab Emirates","25089"
"Yemen","United Arab Emirates","173480"
"Indonesia","United Arab Emirates","260312"
"Philippines","United Arab Emirates","555704"
"Thailand","United Arab Emirates","13395"
"France","United Arab Emirates","23440"
"Netherlands","United Arab Emirates","2459"
"United Kingdom of Great Britain and Northern Ireland","United Arab Emirates","19164"
"Egypt","United Arab Emirates","935308"
"Morocco","United Arab Emirates","7492"
"Sudan","United Arab Emirates","86981"
"Tunisia","United Arab Emirates","5416"
"Chad","United Arab Emirates","4967"
"Nigeria","United Arab Emirates","22572"
"Eritrea","United Arab Emirates","17916"
"Ethiopia","United Arab Emirates","7836"
"Somalia","United Arab Emirates","6000"
"South Sudan","United Arab Emirates","9817"
"United States of America","United Arab Emirates","12953"
"Iran (Islamic Republic of)","Yemen","7"
"Iraq","Yemen","9801"
"State of Palestine","Yemen","3757"
"Syrian Arab Republic","Yemen","2943"
"Viet Nam","Yemen","15"
"Egypt","Yemen","11096"
"Sudan","Yemen","27082"
"Eritrea","Yemen","1009"
"Ethiopia","Yemen","5740"
"Somalia","Yemen","245683"
"Afghanistan","Belarus","282"
"India","Belarus","48"
"Iran (Islamic Republic of)","Belarus","49"
"Pakistan","Belarus","47"
"Armenia","Belarus","5728"
"Azerbaijan","Belarus","13493"
"Georgia","Belarus","8507"
"Israel","Belarus","387"
"Jordan","Belarus","30"
"Lebanon","Belarus","65"
"Syrian Arab Republic","Belarus","83"
"Turkey","Belarus","25"
"United Arab Emirates","Belarus","23"
"Yemen","Belarus","33"
"Viet Nam","Belarus","366"
"Democratic People's Republic of Korea","Belarus","60"
"Mongolia","Belarus","168"
"Republic of Korea","Belarus","29"
"Kazakhstan","Belarus","69957"
"Kyrgyzstan","Belarus","5234"
"Tajikistan","Belarus","5679"
"Turkmenistan","Belarus","5464"
"Uzbekistan","Belarus","14788"
"Greece","Belarus","108"
"Italy","Belarus","24"
"Serbia","Belarus","35"
"Spain","Belarus","35"
"Austria","Belarus","59"
"Belgium","Belarus","36"
"Germany","Belarus","66"
"Switzerland","Belarus","29"
"Bulgaria","Belarus","61"
"Czech Republic","Belarus","96"
"Hungary","Belarus","342"
"Poland","Belarus","478"
"Republic of Moldova","Belarus","7608"
"Romania","Belarus","23"
"Russian Federation","Belarus","682362"
"Slovakia","Belarus","27"
"Ukraine","Belarus","225734"
"Denmark","Belarus","199"
"Estonia","Belarus","3243"
"Finland","Belarus","2111"
"Ireland","Belarus","24"
"Latvia","Belarus","10486"
"Lithuania","Belarus","17385"
"Norway","Belarus","61"
"Sweden","Belarus","340"
"United Kingdom of Great Britain and Northern Ireland","Belarus","461"
"Algeria","Belarus","53"
"Ethiopia","Belarus","25"
"Australia","Belarus","28"
"Cuba","Belarus","44"
"Argentina","Belarus","102"
"Brazil","Belarus","94"
"Uruguay","Belarus","28"
"Canada","Belarus","155"
"United States of America","Belarus","87"
"Afghanistan","Bulgaria","322"
"Bangladesh","Bulgaria","575"
"Bhutan","Bulgaria","25"
"India","Bulgaria","187"
"Iran (Islamic Republic of)","Bulgaria","282"
"Maldives","Bulgaria","2"
"Nepal","Bulgaria","7"
"Pakistan","Bulgaria","86"
"Sri Lanka","Bulgaria","9"
"Armenia","Bulgaria","1496"
"Azerbaijan","Bulgaria","1968"
"Bahrain","Bulgaria","16"
"Cyprus","Bulgaria","714"
"Georgia","Bulgaria","336"
"Iraq","Bulgaria","868"
"Israel","Bulgaria","434"
"Jordan","Bulgaria","193"
"Kuwait","Bulgaria","100"
"Lebanon","Bulgaria","670"
"Oman","Bulgaria","3"
"Qatar","Bulgaria","19"
"Saudi Arabia","Bulgaria","36"
"State of Palestine","Bulgaria","6"
"Syrian Arab Republic","Bulgaria","1365"
"Turkey","Bulgaria","6551"
"United Arab Emirates","Bulgaria","94"
"Yemen","Bulgaria","50"
"Brunei Darussalam","Bulgaria","1"
"Cambodia","Bulgaria","13"
"Indonesia","Bulgaria","37"
"Lao People's Democratic Republic","Bulgaria","1"
"Malaysia","Bulgaria","3"
"Philippines","Bulgaria","49"
"Singapore","Bulgaria","12"
"Thailand","Bulgaria","18"
"Viet Nam","Bulgaria","627"
"China","Bulgaria","977"
"Japan","Bulgaria","142"
"Mongolia","Bulgaria","70"
"Kazakhstan","Bulgaria","1122"
"Kyrgyzstan","Bulgaria","107"
"Tajikistan","Bulgaria","137"
"Turkmenistan","Bulgaria","283"
"Uzbekistan","Bulgaria","754"
"Albania","Bulgaria","1134"
"Bosnia and Herzegovina","Bulgaria","112"
"Croatia","Bulgaria","92"
"Gibraltar","Bulgaria","6"
"Greece","Bulgaria","7761"
"Italy","Bulgaria","2379"
"Malta","Bulgaria","55"
"Montenegro","Bulgaria","28"
"Portugal","Bulgaria","278"
"San Marino","Bulgaria","5"
"Serbia","Bulgaria","2783"
"Slovenia","Bulgaria","78"
"Spain","Bulgaria","4276"
"The former Yugoslav Republic of Macedonia","Bulgaria","2508"
"Austria","Bulgaria","519"
"Belgium","Bulgaria","1061"
"France","Bulgaria","1320"
"Germany","Bulgaria","3827"
"Liechtenstein","Bulgaria","2"
"Luxembourg","Bulgaria","49"
"Monaco","Bulgaria","9"
"Netherlands","Bulgaria","773"
"Switzerland","Bulgaria","291"
"Belarus","Bulgaria","707"
"Czech Republic","Bulgaria","1081"
"Hungary","Bulgaria","366"
"Poland","Bulgaria","1518"
"Republic of Moldova","Bulgaria","2100"
"Romania","Bulgaria","5660"
"Russian Federation","Bulgaria","20549"
"Slovakia","Bulgaria","315"
"Ukraine","Bulgaria","6400"
"Denmark","Bulgaria","149"
"Estonia","Bulgaria","75"
"Finland","Bulgaria","115"
"Iceland","Bulgaria","14"
"Ireland","Bulgaria","234"
"Latvia","Bulgaria","159"
"Lithuania","Bulgaria","138"
"Norway","Bulgaria","177"
"Sweden","Bulgaria","230"
"United Kingdom of Great Britain and Northern Ireland","Bulgaria","5329"
"Algeria","Bulgaria","369"
"Egypt","Bulgaria","161"
"Libya","Bulgaria","206"
"Morocco","Bulgaria","85"
"Sudan","Bulgaria","38"
"Tunisia","Bulgaria","95"
"Angola","Bulgaria","7"
"Cameroon","Bulgaria","16"
"Chad","Bulgaria","5"
"Congo","Bulgaria","13"
"Democratic Republic of the Congo","Bulgaria","16"
"Gabon","Bulgaria","11"
"Benin","Bulgaria","31"
"Burkina Faso","Bulgaria","13"
"Cabo Verde","Bulgaria","7"
"Côte d'Ivoire","Bulgaria","7"
"Gambia","Bulgaria","12"
"Ghana","Bulgaria","14"
"Guinea","Bulgaria","8"
"Guinea-Bissau","Bulgaria","5"
"Liberia","Bulgaria","5"
"Mali","Bulgaria","1"
"Mauritania","Bulgaria","3"
"Niger","Bulgaria","1"
"Nigeria","Bulgaria","94"
"Senegal","Bulgaria","11"
"Sierra Leone","Bulgaria","2"
"Botswana","Bulgaria","28"
"Namibia","Bulgaria","5"
"South Africa","Bulgaria","174"
"Swaziland","Bulgaria","3"
"Burundi","Bulgaria","18"
"Djibouti","Bulgaria","3"
"Eritrea","Bulgaria","3"
"Ethiopia","Bulgaria","54"
"Kenya","Bulgaria","17"
"Madagascar","Bulgaria","2"
"Mauritius","Bulgaria","1"
"Mozambique","Bulgaria","34"
"Rwanda","Bulgaria","2"
"Somalia","Bulgaria","15"
"Uganda","Bulgaria","6"
"United Republic of Tanzania","Bulgaria","13"
"Zambia","Bulgaria","11"
"Zimbabwe","Bulgaria","29"
"Samoa","Bulgaria","6"
"Tonga","Bulgaria","1"
"Tuvalu","Bulgaria","2"
"Wallis and Futuna Islands","Bulgaria","1"
"Australia","Bulgaria","198"
"New Zealand","Bulgaria","42"
"Fiji","Bulgaria","1"
"Papua New Guinea","Bulgaria","3"
"Vanuatu","Bulgaria","16"
"Kiribati","Bulgaria","4"
"Marshall Islands","Bulgaria","1"
"Nauru","Bulgaria","2"
"Anguilla","Bulgaria","36"
"Antigua and Barbuda","Bulgaria","5"
"Aruba","Bulgaria","5"
"Bahamas","Bulgaria","4"
"Barbados","Bulgaria","4"
"British Virgin Islands","Bulgaria","72"
"Cayman Islands","Bulgaria","3"
"Cuba","Bulgaria","270"
"Dominican Republic","Bulgaria","28"
"Haiti","Bulgaria","5"
"Jamaica","Bulgaria","5"
"Turks and Caicos Islands","Bulgaria","3"
"Argentina","Bulgaria","119"
"Bolivia (Plurinational State of)","Bulgaria","19"
"Brazil","Bulgaria","114"
"Chile","Bulgaria","24"
"Colombia","Bulgaria","33"
"Ecuador","Bulgaria","16"
"Guyana","Bulgaria","4"
"Paraguay","Bulgaria","2"
"Peru","Bulgaria","25"
"Uruguay","Bulgaria","16"
"Venezuela (Bolivarian Republic of)","Bulgaria","33"
"Belize","Bulgaria","2"
"Costa Rica","Bulgaria","7"
"El Salvador","Bulgaria","6"
"Guatemala","Bulgaria","5"
"Honduras","Bulgaria","2"
"Mexico","Bulgaria","44"
"Nicaragua","Bulgaria","32"
"Panama","Bulgaria","7"
"Bermuda","Bulgaria","2"
"Canada","Bulgaria","474"
"Greenland","Bulgaria","2"
"United States of America","Bulgaria","2128"
"Afghanistan","Czech Republic","427"
"Bangladesh","Czech Republic","162"
"Bhutan","Czech Republic","2"
"India","Czech Republic","1502"
"Iran (Islamic Republic of)","Czech Republic","458"
"Maldives","Czech Republic","2"
"Nepal","Czech Republic","129"
"Pakistan","Czech Republic","527"
"Sri Lanka","Czech Republic","130"
"Armenia","Czech Republic","2020"
"Azerbaijan","Czech Republic","1099"
"Bahrain","Czech Republic","13"
"Cyprus","Czech Republic","103"
"Georgia","Czech Republic","1045"
"Iraq","Czech Republic","502"
"Israel","Czech Republic","477"
"Jordan","Czech Republic","172"
"Kuwait","Czech Republic","101"
"Lebanon","Czech Republic","350"
"Qatar","Czech Republic","6"
"Saudi Arabia","Czech Republic","192"
"State of Palestine","Czech Republic","91"
"Syrian Arab Republic","Czech Republic","856"
"Turkey","Czech Republic","1580"
"United Arab Emirates","Czech Republic","53"
"Yemen","Czech Republic","173"
"Cambodia","Czech Republic","27"
"Indonesia","Czech Republic","154"
"Lao People's Democratic Republic","Czech Republic","25"
"Malaysia","Czech Republic","412"
"Myanmar","Czech Republic","128"
"Philippines","Czech Republic","365"
"Singapore","Czech Republic","49"
"Thailand","Czech Republic","624"
"Viet Nam","Czech Republic","47475"
"China","Czech Republic","4788"
"Democratic People's Republic of Korea","Czech Republic","11"
"Japan","Czech Republic","1528"
"Mongolia","Czech Republic","4500"
"Republic of Korea","Czech Republic","1388"
"Kazakhstan","Czech Republic","6307"
"Kyrgyzstan","Czech Republic","785"
"Tajikistan","Czech Republic","229"
"Turkmenistan","Czech Republic","160"
"Uzbekistan","Czech Republic","1913"
"Albania","Czech Republic","314"
"Bosnia and Herzegovina","Czech Republic","2648"
"Croatia","Czech Republic","1579"
"Greece","Czech Republic","681"
"Italy","Czech Republic","3205"
"Malta","Czech Republic","21"
"Montenegro","Czech Republic","81"
"Portugal","Czech Republic","263"
"San Marino","Czech Republic","1"
"Serbia","Czech Republic","1402"
"Slovenia","Czech Republic","315"
"Spain","Czech Republic","880"
"The former Yugoslav Republic of Macedonia","Czech Republic","1882"
"Austria","Czech Republic","2641"
"Belgium","Czech Republic","610"
"France","Czech Republic","2708"
"Germany","Czech Republic","15209"
"Liechtenstein","Czech Republic","1"
"Luxembourg","Czech Republic","21"
"Monaco","Czech Republic","6"
"Netherlands","Czech Republic","2624"
"Switzerland","Czech Republic","512"
"Belarus","Czech Republic","4094"
"Bulgaria","Czech Republic","8768"
"Hungary","Czech Republic","1152"
"Poland","Czech Republic","19224"
"Republic of Moldova","Czech Republic","6421"
"Romania","Czech Republic","5125"
"Russian Federation","Czech Republic","31669"
"Slovakia","Czech Republic","87584"
"Ukraine","Czech Republic","97474"
"Denmark","Czech Republic","300"
"Estonia","Czech Republic","169"
"Finland","Czech Republic","286"
"Iceland","Czech Republic","29"
"Ireland","Czech Republic","578"
"Latvia","Czech Republic","414"
"Lithuania","Czech Republic","611"
"Norway","Czech Republic","154"
"Sweden","Czech Republic","459"
"United Kingdom of Great Britain and Northern Ireland","Czech Republic","4795"
"Algeria","Czech Republic","699"
"Egypt","Czech Republic","695"
"Libya","Czech Republic","190"
"Morocco","Czech Republic","300"
"Sudan","Czech Republic","64"
"Tunisia","Czech Republic","752"
"Angola","Czech Republic","171"
"Cameroon","Czech Republic","95"
"Chad","Czech Republic","7"
"Congo","Czech Republic","61"
"Democratic Republic of the Congo","Czech Republic","85"
"Gabon","Czech Republic","3"
"Sao Tome and Principe","Czech Republic","2"
"Benin","Czech Republic","41"
"Burkina Faso","Czech Republic","14"
"Cabo Verde","Czech Republic","11"
"Côte d'Ivoire","Czech Republic","83"
"Gambia","Czech Republic","14"
"Ghana","Czech Republic","177"
"Guinea","Czech Republic","75"
"Guinea-Bissau","Czech Republic","23"
"Liberia","Czech Republic","10"
"Mali","Czech Republic","27"
"Mauritania","Czech Republic","6"
"Niger","Czech Republic","5"
"Nigeria","Czech Republic","607"
"Senegal","Czech Republic","59"
"Sierra Leone","Czech Republic","18"
"Togo","Czech Republic","16"
"Botswana","Czech Republic","101"
"Lesotho","Czech Republic","2"
"Namibia","Czech Republic","27"
"South Africa","Czech Republic","341"
"Burundi","Czech Republic","6"
"Djibouti","Czech Republic","3"
"Eritrea","Czech Republic","7"
"Ethiopia","Czech Republic","115"
"Kenya","Czech Republic","88"
"Madagascar","Czech Republic","27"
"Malawi","Czech Republic","2"
"Mauritius","Czech Republic","28"
"Mozambique","Czech Republic","10"
"Rwanda","Czech Republic","7"
"Seychelles","Czech Republic","3"
"Somalia","Czech Republic","34"
"Uganda","Czech Republic","31"
"United Republic of Tanzania","Czech Republic","22"
"Zambia","Czech Republic","56"
"Zimbabwe","Czech Republic","53"
"Samoa","Czech Republic","3"
"Australia","Czech Republic","528"
"New Zealand","Czech Republic","175"
"Fiji","Czech Republic","4"
"Papua New Guinea","Czech Republic","4"
"Vanuatu","Czech Republic","2"
"Kiribati","Czech Republic","1"
"Barbados","Czech Republic","2"
"Cuba","Czech Republic","423"
"Dominica","Czech Republic","2"
"Dominican Republic","Czech Republic","56"
"Grenada","Czech Republic","1"
"Haiti","Czech Republic","9"
"Jamaica","Czech Republic","16"
"Saint Lucia","Czech Republic","5"
"Saint Vincent and the Grenadines","Czech Republic","1"
"Trinidad and Tobago","Czech Republic","8"
"Argentina","Czech Republic","180"
"Bolivia (Plurinational State of)","Czech Republic","71"
"Brazil","Czech Republic","425"
"Chile","Czech Republic","117"
"Colombia","Czech Republic","237"
"Ecuador","Czech Republic","98"
"Guyana","Czech Republic","6"
"Paraguay","Czech Republic","27"
"Peru","Czech Republic","217"
"Suriname","Czech Republic","8"
"Uruguay","Czech Republic","30"
"Venezuela (Bolivarian Republic of)","Czech Republic","124"
"Costa Rica","Czech Republic","51"
"El Salvador","Czech Republic","26"
"Guatemala","Czech Republic","35"
"Honduras","Czech Republic","16"
"Mexico","Czech Republic","394"
"Nicaragua","Czech Republic","16"
"Panama","Czech Republic","39"
"Bermuda","Czech Republic","4"
"Canada","Czech Republic","811"
"United States of America","Czech Republic","5698"
"Afghanistan","Hungary","1333"
"Bangladesh","Hungary","71"
"India","Hungary","1050"
"Iran (Islamic Republic of)","Hungary","2119"
"Nepal","Hungary","64"
"Pakistan","Hungary","317"
"Sri Lanka","Hungary","62"
"Armenia","Hungary","190"
"Azerbaijan","Hungary","159"
"Bahrain","Hungary","15"
"Cyprus","Hungary","295"
"Georgia","Hungary","184"
"Iraq","Hungary","858"
"Israel","Hungary","1695"
"Jordan","Hungary","350"
"Kuwait","Hungary","219"
"Lebanon","Hungary","369"
"Oman","Hungary","16"
"Qatar","Hungary","52"
"Saudi Arabia","Hungary","388"
"State of Palestine","Hungary","69"
"Syrian Arab Republic","Hungary","1433"
"Turkey","Hungary","2154"
"United Arab Emirates","Hungary","241"
"Yemen","Hungary","276"
"Cambodia","Hungary","61"
"Indonesia","Hungary","235"
"Lao People's Democratic Republic","Hungary","40"
"Malaysia","Hungary","100"
"Myanmar","Hungary","9"
"Philippines","Hungary","289"
"Singapore","Hungary","76"
"Thailand","Hungary","762"
"Viet Nam","Hungary","3318"
"China","Hungary","11449"
"Japan","Hungary","1378"
"Mongolia","Hungary","987"
"Republic of Korea","Hungary","1160"
"Kazakhstan","Hungary","520"
"Kyrgyzstan","Hungary","143"
"Tajikistan","Hungary","16"
"Uzbekistan","Hungary","126"
"Albania","Hungary","226"
"Bosnia and Herzegovina","Hungary","271"
"Croatia","Hungary","2061"
"Greece","Hungary","1242"
"Italy","Hungary","4464"
"Malta","Hungary","60"
"Montenegro","Hungary","45"
"Portugal","Hungary","447"
"Serbia","Hungary","38724"
"Slovenia","Hungary","422"
"Spain","Hungary","1683"
"Austria","Hungary","9044"
"Belgium","Hungary","1915"
"France","Hungary","4047"
"Germany","Hungary","30123"
"Liechtenstein","Hungary","4"
"Luxembourg","Hungary","171"
"Monaco","Hungary","5"
"Netherlands","Hungary","3147"
"Switzerland","Hungary","2520"
"Belarus","Hungary","208"
"Bulgaria","Hungary","1397"
"Czech Republic","Hungary","1610"
"Poland","Hungary","3199"
"Republic of Moldova","Hungary","228"
"Romania","Hungary","204603"
"Russian Federation","Hungary","3300"
"Slovakia","Hungary","21927"
"Ukraine","Hungary","34369"
"Denmark","Hungary","450"
"Estonia","Hungary","146"
"Finland","Hungary","752"
"Iceland","Hungary","129"
"Ireland","Hungary","1071"
"Latvia","Hungary","172"
"Lithuania","Hungary","172"
"Norway","Hungary","1174"
"Sweden","Hungary","1619"
"United Kingdom of Great Britain and Northern Ireland","Hungary","6980"
"Algeria","Hungary","681"
"Egypt","Hungary","1183"
"Libya","Hungary","423"
"Morocco","Hungary","200"
"Sudan","Hungary","163"
"Tunisia","Hungary","238"
"Angola","Hungary","81"
"Cameroon","Hungary","250"
"Central African Republic","Hungary","8"
"Chad","Hungary","3"
"Congo","Hungary","82"
"Democratic Republic of the Congo","Hungary","32"
"Gabon","Hungary","3"
"Benin","Hungary","26"
"Côte d'Ivoire","Hungary","27"
"Gambia","Hungary","8"
"Ghana","Hungary","131"
"Guinea","Hungary","39"
"Guinea-Bissau","Hungary","8"
"Liberia","Hungary","49"
"Mali","Hungary","23"
"Mauritania","Hungary","3"
"Niger","Hungary","6"
"Nigeria","Hungary","1459"
"Senegal","Hungary","30"
"Sierra Leone","Hungary","32"
"Togo","Hungary","10"
"Botswana","Hungary","4"
"Lesotho","Hungary","4"
"Namibia","Hungary","8"
"South Africa","Hungary","349"
"Eritrea","Hungary","20"
"Ethiopia","Hungary","141"
"Kenya","Hungary","107"
"Madagascar","Hungary","31"
"Mauritius","Hungary","65"
"Mozambique","Hungary","21"
"Rwanda","Hungary","19"
"Somalia","Hungary","553"
"Uganda","Hungary","36"
"United Republic of Tanzania","Hungary","56"
"Zambia","Hungary","16"
"Zimbabwe","Hungary","36"
"Australia","Hungary","953"
"New Zealand","Hungary","186"
"Papua New Guinea","Hungary","3"
"Bahamas","Hungary","6"
"Barbados","Hungary","2"
"Cuba","Hungary","565"
"Dominican Republic","Hungary","32"
"Grenada","Hungary","3"
"Jamaica","Hungary","30"
"Saint Vincent and the Grenadines","Hungary","4"
"Trinidad and Tobago","Hungary","12"
"Argentina","Hungary","396"
"Bolivia (Plurinational State of)","Hungary","53"
"Brazil","Hungary","900"
"Chile","Hungary","140"
"Colombia","Hungary","220"
"Ecuador","Hungary","109"
"Guyana","Hungary","8"
"Paraguay","Hungary","15"
"Peru","Hungary","196"
"Uruguay","Hungary","63"
"Venezuela (Bolivarian Republic of)","Hungary","218"
"Belize","Hungary","3"
"Costa Rica","Hungary","43"
"El Salvador","Hungary","14"
"Guatemala","Hungary","18"
"Honduras","Hungary","10"
"Mexico","Hungary","432"
"Nicaragua","Hungary","25"
"Panama","Hungary","25"
"Bermuda","Hungary","1"
"Canada","Hungary","2346"
"United States of America","Hungary","7680"
"Afghanistan","Poland","141"
"Bangladesh","Poland","100"
"India","Poland","857"
"Iran (Islamic Republic of)","Poland","231"
"Nepal","Poland","56"
"Pakistan","Poland","213"
"Sri Lanka","Poland","86"
"Armenia","Poland","2105"
"Azerbaijan","Poland","265"
"Cyprus","Poland","207"
"Georgia","Poland","326"
"Iraq","Poland","425"
"Israel","Poland","346"
"Jordan","Poland","137"
"Kuwait","Poland","192"
"Lebanon","Poland","383"
"Qatar","Poland","24"
"Saudi Arabia","Poland","175"
"Syrian Arab Republic","Poland","588"
"Turkey","Poland","874"
"United Arab Emirates","Poland","124"
"Yemen","Poland","114"
"Cambodia","Poland","25"
"Indonesia","Poland","113"
"Malaysia","Poland","40"
"Philippines","Poland","195"
"Thailand","Poland","98"
"Viet Nam","Poland","2792"
"China","Poland","1177"
"Japan","Poland","510"
"Mongolia","Poland","322"
"Republic of Korea","Poland","118"
"Kazakhstan","Poland","4604"
"Kyrgyzstan","Poland","124"
"Tajikistan","Poland","59"
"Turkmenistan","Poland","54"
"Uzbekistan","Poland","496"
"Albania","Poland","125"
"Bosnia and Herzegovina","Poland","3477"
"Croatia","Poland","786"
"Greece","Poland","3099"
"Italy","Poland","9935"
"Montenegro","Poland","60"
"Portugal","Poland","137"
"Serbia","Poland","1034"
"Slovenia","Poland","153"
"Spain","Poland","4820"
"The former Yugoslav Republic of Macedonia","Poland","264"
"Austria","Poland","3790"
"Belgium","Poland","5219"
"France","Poland","26120"
"Germany","Poland","76313"
"Luxembourg","Poland","231"
"Monaco","Poland","23"
"Netherlands","Poland","2590"
"Switzerland","Poland","1015"
"Belarus","Poland","75926"
"Bulgaria","Poland","1730"
"Czech Republic","Poland","4513"
"Hungary","Poland","1343"
"Republic of Moldova","Poland","555"
"Romania","Poland","2480"
"Russian Federation","Poland","38146"
"Slovakia","Poland","1295"
"Ukraine","Poland","206518"
"Denmark","Poland","892"
"Estonia","Poland","200"
"Finland","Poland","250"
"Iceland","Poland","492"
"Ireland","Poland","7592"
"Latvia","Poland","1551"
"Lithuania","Poland","50444"
"Norway","Poland","1528"
"Sweden","Poland","1307"
"United Kingdom of Great Britain and Northern Ireland","Poland","34545"
"Algeria","Poland","583"
"Egypt","Poland","452"
"Libya","Poland","240"
"Morocco","Poland","318"
"Sudan","Poland","113"
"Tunisia","Poland","409"
"Angola","Poland","58"
"Cameroon","Poland","37"
"Congo","Poland","106"
"Ghana","Poland","36"
"Guinea","Poland","57"
"Mali","Poland","30"
"Nigeria","Poland","381"
"Senegal","Poland","88"
"South Africa","Poland","381"
